ID,GSM1489980,GSM1489981,GSM1489982,GSM1489983,GSM1489984,GSM1489985,GSM1489986,GSM1489987,GSM1489988,GSM1489989,GSM1489990,GSM1489991,GSM1489992,GSM1489993,GSM1489994,GSM1489995,GSM1489996,GSM1489997,GSM1489998,GSM1489999,GSM1490000,GSM1490001,GSM1490002,GSM1490003,GSM1490005,GSM1490006,GSM1490007,GSM1490008,GSM1490009,GSM1490010,GSM1490011,GSM1490012,GSM1490013,GSM1490014,GSM1490015
CFL2,-1.180253148,0.323647141,-1.655408025,0.416567773,-1.269883752,-2.603089333,-0.708135664,-0.749917209,-0.804257393,-1.806739807,-1.090188861,-2.520425081,-1.199782133,-0.552332282,-1.022207856,-0.195251375,-0.557447791,-1.667678714,-0.985404253,-1.696926475,-2.522914171,0.494164437,-0.490487725,-0.291013747,0.792840958,-0.59576261,-1.382726192,-1.197446465,-0.656286478,0,-0.612995446,-0.324739546,-0.466364056,-0.442997605,-0.524837911
CFL1,-0.717502952,-0.467780232,0.964665294,-1.359834909,-1.902338505,0.011970251,-0.577335417,-0.107366934,0.3472251,-0.403404534,0.702447951,0,-0.386761785,2.417399406,0.43894577,-0.374715954,1.269287944,0.533139288,0.149405926,-0.306844652,0.764979005,1.799158454,0.736007988,0.610078812,0.646812797,-0.57857728,-0.888041258,1.20021534,0.729005754,-0.151664793,0.772775471,1.24344039,-0.340549737,1.195925474,0.303323388
C1orf187,0.701753378,1.061655045,1.779436827,1.141498327,0.738098621,1.529080868,0.611166954,0.335353494,0.474709809,0.991218328,0.872722983,0.264313638,0.437165141,0.665080488,0.069676094,-0.391701043,0.534458697,-0.102427356,0.5344823,1.200558662,-1.603259563,0.74093926,0.483344197,0.437760592,0.220418587,0.099911369,-0.194780305,0.269573718,0.300956786,0.727081358,0.15848434,0.373558015,0.290865958,0.555507421,1.315232515
C1orf183,1.607911944,2.073807478,0.197422221,1.601984859,3.153863907,1.756895304,0.917189777,1.534785628,1.915453553,1.433792233,0.457167506,0,1.850826621,1.134426236,1.417229652,1.408306956,0.901523054,1.778536439,1.092813134,1.587264538,1.014819503,0.876361787,1.488931537,1.553176165,1.455176234,0.901043594,0.618077874,1.481878757,1.220151901,2.017498255,1.476020932,1.708117485,1.676597118,1.419174194,1.104164124
C1orf181,0.537007093,-0.478642285,-0.467798501,0.010869393,-0.239737645,0.504337609,-0.093670391,0.124863766,-0.418410748,0.871940732,0.39527148,1.300239921,-0.086594395,-0.042475205,0.234162897,0.510765016,0.199994817,-0.045142848,0.44109726,-0.309876591,1.506482005,-0.312517583,-0.285209149,0.140323654,-0.186559394,0.027869619,1.312505126,0.083822958,0.21886985,-0.050391275,0.036027629,-0.674836218,-0.765632451,0,0
LEMD2,-0.235230371,-0.054237742,0.18371892,0.082845159,0.140279859,0.206833765,-0.42000559,-0.157848135,-0.489884138,-0.400538027,0.246302515,-0.218169123,-0.062066171,0.007420163,-0.144327655,-0.183289751,-0.094321243,-0.11874149,-0.085750476,-0.218747646,-0.426141649,-0.038884316,-0.190742061,0.078343533,-0.068458721,-0.211866125,-0.04240863,-0.325492829,-0.186506614,-0.174171969,-0.152643234,-0.005854223,-0.353556633,-0.344275922,-0.518125415
LEMD1,-0.218548089,0,-2.592148066,0.501931012,0,-0.891353428,0.103238471,-0.270184219,-0.364518404,-0.989356697,-0.445140123,0,-0.244176611,0,-0.186802685,-0.423211932,0.120988555,-1.065715551,-0.097128071,-0.85142684,0,-0.935081601,-0.221351653,0.612554967,0.236499876,1.21084094,0,0.103660613,0.283342838,0,0,-0.765950382,0,0,0
C1orf158,0.954021394,0,-0.772387147,0.859073758,1.554853201,-1.606614947,-0.042818863,0.732215762,0.256718487,-0.258878946,-0.348273814,-0.960552752,1.565759778,-1.488013268,0.260914773,0.595175564,0.465685129,0.351969659,-0.305636555,-1.000145555,-1.782818675,-0.960983813,-0.328873485,-0.077965997,0.417333424,1.79248786,0.252667755,0.543831289,0.39941287,0,0.904356897,-0.737557471,1.122859478,0.262182593,0.374230057
C1orf156,0.49603343,-1.117254615,-0.894396842,0.122979477,0.694027901,-1.549484491,-0.486754149,0.109492794,0.190021634,0.861137629,-0.790549636,-1.358432174,-0.258121192,0.696903467,0.278776556,0.954205573,-0.038014017,-0.621862411,-0.974896312,0.259555399,-0.81374079,-0.065878689,-0.221474439,-0.644060016,-1.040538907,0.045591254,-1.03680706,0.017849032,0.183024868,-1.757832408,-0.160917819,0.052497085,-0.540913641,0.024875706,0.440169662
C1orf149,1.205414534,0.395265281,0.254419625,0.938078284,0.946950734,0.862975955,0.566330135,0.87656641,0.172477946,0.301172763,-0.435922027,-0.812825084,1.504291058,0.032222401,1.572360754,0.432214826,1.023951173,1.502106667,0.757724285,0.876338601,-1.338361263,0.158047095,0.944505751,0.55281049,-0.108151078,0.747783184,0.852328181,1.002699971,1.422013521,1.582564592,0.713603437,1.066535592,2.508304119,1.085868001,0.441936731
